word	count	freq
條  97	0.008896
不僅	7   0.000642
主要	7   0.000642
以上	7   0.000642
係  7	0.000642
健全	7   0.000642
公平	7   0.000642
刑罰	7   0.000642
利用	7   0.000642
利益	7   0.000642
勞工	7   0.000642
包括	7   0.000642
即  7	0.000642
均  7	0.000642
基本	7   0.000642
外  7	0.000642
大眾	7   0.000642
契約	7   0.000642
子女	7   0.000642
存款	7   0.000642
專業	7   0.000642
弱勢	7   0.000642
強化	7   0.000642
提出	7   0.000642
有效	7   0.000642
有鑑於	7   0.000642
有關	7   0.000642
期間	7   0.000642
條之二	7   0.000642
業務	7   0.000642
構成	7   0.000642
檔案	7   0.000642
檢查	7   0.000642
權利	7   0.000642
比例	7   0.000642
爭議	7   0.000642
狀況	7   0.000642
直轄市	7   0.000642
確保	7   0.000642
第三	7   0.000642
納入	7   0.000642
給付	7   0.000642
經  7	0.000642
經濟	7   0.000642
網站	7   0.000642
縣  7	0.000642
美國	7   0.000642
草案	7   0.000642
要件	7   0.000642
解釋	7   0.000642
設置	7   0.000642
財團法人    7	0.000642
資本	7   0.000642
較  7	0.000642
透過	7   0.000642
避免	7   0.000642
重劃	7   0.000642
關鍵	7   0.000642
防護	7   0.000642
人工	6   0.000550
仍  6	0.000550
作法	6   0.000550
具有	6   0.000550
參酌	6   0.000550
取得	6   0.000550
台灣	6   0.000550
嚴重	6   0.000550
國民	6   0.000550
增訂	6   0.000550
學費	6   0.000550
完善	6   0.000550
實質	6   0.000550
實際	6   0.000550
審議	6   0.000550
少年	6   0.000550
得以	6   0.000550
情況	6   0.000550
應由	6   0.000550
所有權人    6	0.000550
扣除	6   0.000550
提高	6   0.000550
數位	6   0.000550
施行	6   0.000550
期以	6   0.000550
未能	6   0.000550
案件	6   0.000550
條例	6   0.000550
條及	6   0.000550
標準	6   0.000550
機會	6   0.000550
歲  6	0.000550
流產	6   0.000550
無法	6   0.000550
發生	6   0.000550
監察	6   0.000550
目前	6   0.000550
稅制	6   0.000550
稅負	6   0.000550
立法例	6   0.000550
納稅人	6   0.000550
缺乏	6   0.000550
罰則	6   0.000550
股票	6   0.000550
自由	6   0.000550
致  6	0.000550
被告	6   0.000550
請求	6   0.000550
辦理	6   0.000550
造成	6   0.000550
運作	6   0.000550
障礙	6   0.000550
非  6	0.000550
駕駛人	6   0.000550
鼓勵	6   0.000550
一千零三十  5	0.000459
九條	5   0.000459
予  5	0.000459
交通	5   0.000459
任何	5   0.000459
低於	5   0.000459
依據	5   0.000459
保險公司    5	0.000459
傷害	5   0.000459
優先	5   0.000459
內  5	0.000459
兩造	5   0.000459
制定	5   0.000459
勞保	5   0.000459
勞動	5   0.000459
危害	5   0.000459
反對	5   0.000459
命令	5   0.000459
品質	5   0.000459
報告	5   0.000459
增加	5   0.000459
增進	5   0.000459
完整性	5   0.000459
家庭	5   0.000459
實效	5   0.000459
導致	5   0.000459
履歷	5   0.000459
市地	5   0.000459
年限	5   0.000459
廖正井	5   0.000459
往往	5   0.000459
徵課	5   0.000459
意旨	5   0.000459
憑證	5   0.000459
成立	5   0.000459
擬具	5   0.000459
擴大	5   0.000459
政策	5   0.000459
新增	5   0.000459
方法	5   0.000459
日  5	0.000459
日本	5   0.000459
檢討	5   0.000459
汽車	5   0.000459
法定	5   0.000459
清泉	5   0.000459
為限	5   0.000459
營業	5   0.000459
營業稅	5   0.000459
獲得	5   0.000459
甚至	5   0.000459
生活	5   0.000459
產生	5   0.000459
由於	5   0.000459
相當	5   0.000459
積極	5   0.000459
第一百四十  5	0.000459
第七	5   0.000459
第四	5   0.000459
結合	5   0.000459
至  5	0.000459
若  5	0.000459
蘇  5	0.000459
衝擊	5   0.000459
規避	5   0.000459
訴訟	5   0.000459
證據	5   0.000459
財政	5   0.000459
買賣	5   0.000459
趨勢	5   0.000459
輔導	5   0.000459
通訊	5   0.000459
運用	5   0.000459
道路	5   0.000459
配套	5   0.000459
釋字	5   0.000459
重大	5   0.000459
金額	5   0.000459
銀行	5   0.000459
鎮  5	0.000459
長期	5   0.000459
間  5	0.000459
防止	5   0.000459
隱私	5   0.000459
雖已	5   0.000459
雙方	5   0.000459
需求	5   0.000459
三年	4   0.000367
上市	4   0.000367
上級	4   0.000367
下  4	0.000367
不斷	4   0.000367
不當	4   0.000367
主動	4   0.000367
之虞	4   0.000367
予以	4   0.000367
事故	4   0.000367
事項	4   0.000367
五年	4   0.000367
交付	4   0.000367
以下	4   0.000367
使用費	4   0.000367
依法	4   0.000367
係為	4   0.000367
促進	4   0.000367
保護法	4   0.000367
保險費	4   0.000367
債權人	4   0.000367
價值	4   0.000367
全球	4   0.000367
公務員	4   0.000367
公益	4   0.000367
判決	4   0.000367
制  4	0.000367
前  4	0.000367
十一	4   0.000367
十八	4   0.000367
參與	4   0.000367
受  4	0.000367
另  4	0.000367
可能	4   0.000367
周延	4   0.000367
善盡	4   0.000367
因此	4   0.000367
基於	4   0.000367
增列	4   0.000367
契約書	4   0.000367
委託	4   0.000367
婦女	4   0.000367
學校	4   0.000367
定期	4   0.000367
客戶	4   0.000367
審查	4   0.000367
平均	4   0.000367
年間	4   0.000367
庇護性	4   0.000367
建教	4   0.000367
建教合作    4	0.000367
彈劾	4   0.000367
徵收	4   0.000367
惟本法	4   0.000367
意見	4   0.000367
懷孕	4   0.000367
所得稅法    4	0.000367
扶養	4   0.000367
措施	4   0.000367
改善	4   0.000367
放寬	4   0.000367
效果	4   0.000367
教養	4   0.000367
更  4	0.000367
書面	4   0.000367
本  4	0.000367
核定	4   0.000367
根據	4   0.000367
條件	4   0.000367
標的	4   0.000367
機構	4   0.000367
權  4	0.000367
災害	4   0.000367
然而	4   0.000367
燃料	4   0.000367
營所稅	4   0.000367
特別	4   0.000367
率  4	0.000367
甚鉅	4   0.000367
發行	4   0.000367
盈餘	4   0.000367
研究	4   0.000367
稅率	4   0.000367
符合	4   0.000367
第一千	4   0.000367
第一百	4   0.000367
第三人	4   0.000367
第三十三    4	0.000367
第六	4   0.000367
第十二	4   0.000367
第四十九    4	0.000367
組織	4   0.000367
結果	4   0.000367
統籌	4   0.000367
績效	4   0.000367
考量	4   0.000367
職務	4   0.000367
職業	4   0.000367
股東	4   0.000367
菸品	4   0.000367
號  4	0.000367
衛生	4   0.000367
補充	4   0.000367
要求	4   0.000367
證明	4   0.000367
負擔	4   0.000367
負有	4   0.000367
財產制	4   0.000367
資源	4   0.000367
身體	4   0.000367
退休金	4   0.000367
通信	4   0.000367
過程	4   0.000367
違法	4   0.000367
遺傳性	4   0.000367
鄉  4	0.000367
醫療	4   0.000367
重要	4   0.000367
金錢	4   0.000367
限制	4   0.000367
零  4	0.000367
需要	4   0.000367
面臨	4   0.000367
顯見	4   0.000367
體格	4   0.000367
高  4	0.000367
不宜	3   0.000275
不能	3   0.000275
不足	3   0.000275
中華民國    3	0.000275
主義	3   0.000275
之原	3   0.000275
以使	3   0.000275
仲介	3   0.000275
位  3	0.000275
低  3	0.000275
佔有	3   0.000275
促使	3   0.000275
保險業	3   0.000275
信用	3   0.000275
俾  3	0.000275
俾使	3   0.000275
僅  3	0.000275
儲戶	3   0.000275
元  3	0.000275
充分	3   0.000275
先進	3   0.000275
兩稅	3   0.000275
公允	3   0.000275
共享	3   0.000275
其中	3   0.000275
出現	3   0.000275
分配款	3   0.000275
制之	3   0.000275
制訂	3   0.000275
則  3	0.000275
加徵	3   0.000275
努力	3   0.000275
占  3	0.000275
原意	3   0.000275
參考	3   0.000275
受償	3   0.000275
可  3	0.000275
司法院	3   0.000275
合理	3   0.000275
名譽	3   0.000275
向  3	0.000275
吳  3	0.000275
因素	3   0.000275
園區	3   0.000275
地方	3   0.000275
基準	3   0.000275
基準日	3   0.000275
多元	3   0.000275
大學	3   0.000275
失能	3   0.000275
始  3	0.000275
委員會	3   0.000275
子公司	3   0.000275
孝道	3   0.000275
定  3	0.000275
定義	3   0.000275
實有	3   0.000275
寬頻	3   0.000275
尊重	3   0.000275
小  3	0.000275
工資	3   0.000275
差異	3   0.000275
市場	3   0.000275
平等	3   0.000275
平衡	3   0.000275
年滿	3   0.000275
建構	3   0.000275
建置	3   0.000275
強制	3   0.000275
彈劾案	3   0.000275
彈劾權	3   0.000275
往來	3   0.000275
心理	3   0.000275
忠實	3   0.000275
性  3	0.000275
情節	3   0.000275
應以	3   0.000275
應於	3   0.000275
應負	3   0.000275
所定	3   0.000275
所得額	3   0.000275
拍定	3   0.000275
指出	3   0.000275
排除	3   0.000275
接受	3   0.000275
接管	3   0.000275
控股	3   0.000275
揭露	3   0.000275
損及	3   0.000275
損害	3   0.000275
撤銷	3   0.000275
支持	3   0.000275
收入	3   0.000275
故  3	0.000275
方符	3   0.000275
日漸	3   0.000275
日益	3   0.000275
明文	3   0.000275
明確性	3   0.000275
明訂	3   0.000275
明顯	3   0.000275
會議	3   0.000275
有所	3   0.000275
有違	3   0.000275
有限	3   0.000275
服務業	3   0.000275
期限	3   0.000275
未來	3   0.000275
未滿	3   0.000275
未經	3   0.000275
條之三	3   0.000275
楊應雄	3   0.000275
楊瓊瓔	3   0.000275
業  3	0.000275
標誌	3   0.000275
次  3	0.000275
正式	3   0.000275
民間	3   0.000275
法制	3   0.000275
法國	3   0.000275
涉及	3   0.000275
潘維剛	3   0.000275
濫用	3   0.000275
無  3	0.000275
然  3	0.000275
營運	3   0.000275
特殊	3   0.000275
現今	3   0.000275
環境	3   0.000275
甚  3	0.000275
甚大	3   0.000275
生  3	0.000275
生命	3   0.000275
生育率	3   0.000275
產業	3   0.000275
申報	3   0.000275
界定	3   0.000275
當事人	3   0.000275
病人	3   0.000275
發放	3   0.000275
目標	3   0.000275
相違	3   0.000275
眷戶	3   0.000275
祖父母	3   0.000275
福利	3   0.000275
稅課	3   0.000275
種類	3   0.000275
積欠	3   0.000275
符應	3   0.000275
第三十一    3	0.000275
第二十二    3	0.000275
第八	3   0.000275
第十七	3   0.000275
第四十三    3	0.000275
精神	3   0.000275
系統	3   0.000275
結構	3   0.000275
統一	3   0.000275
經費	3   0.000275
維持	3   0.000275
網際網路    3	0.000275
編製	3   0.000275
縮短	3   0.000275
總數	3   0.000275
聲請	3   0.000275
職權	3   0.000275
股市	3   0.000275
育仁	3   0.000275
自  3	0.000275
自我	3   0.000275
自行	3   0.000275
菸酒	3   0.000275
著作	3   0.000275
著作權	3   0.000275
蒐集	3   0.000275
行動電話    3	0.000275
衍生	3   0.000275
衝突	3   0.000275
解決	3   0.000275
計畫	3   0.000275
計畫書	3   0.000275
記載	3   0.000275
診療	3   0.000275
詹凱臣	3   0.000275
認定為	3   0.000275
調整	3   0.000275
調降	3   0.000275
證交稅	3   0.000275
財政部	3   0.000275
貢獻	3   0.000275
販賣	3   0.000275
費用	3   0.000275
資產	3   0.000275
輔助	3   0.000275
轉變	3   0.000275
近年來	3   0.000275
退場	3   0.000275
逕行	3   0.000275
通知	3   0.000275
過去	3   0.000275
過失	3   0.000275
達成	3   0.000275
違反	3   0.000275
適當	3   0.000275
選擇	3   0.000275
郵件	3   0.000275
配合	3   0.000275
鑑於	3   0.000275
防範	3   0.000275
限縮	3   0.000275
除  3	0.000275
陳碧涵	3   0.000275
階段	3   0.000275
雖  3	0.000275
難以	3   0.000275
電子	3   0.000275
須  3	0.000275
預算	3   0.000275
餘額	3   0.000275
駕駛	3   0.000275
體系	3   0.000275
高齡	3   0.000275
一定	2   0.000183
一方	2   0.000183
一般	2   0.000183
一般性	2   0.000183
一造	2   0.000183
丁守中	2   0.000183
三  2	0.000183
三十一	2   0.000183
上櫃	2   0.000183
上網	2   0.000183
不乏	2   0.000183
不同	2   0.000183
不肖	2   0.000183
並經	2   0.000183
中心	2   0.000183
乃  2	0.000183
之虞者	2   0.000183
之訴	2   0.000183
事件	2   0.000183
二  2	0.000183
二年	2   0.000183
二百零八    2	0.000183
交通安全    2	0.000183
亦即	2   0.000183
人口	2   0.000183
人時	2   0.000183
人身	2   0.000183
人體	2   0.000183
仍顯	2   0.000183
代為	2   0.000183
代銷	2   0.000183
以來	2   0.000183
以收	2   0.000183
以為	2   0.000183
以致	2   0.000183
件  2	0.000183
作為	2   0.000183
併同	2   0.000183
併購	2   0.000183
供  2	0.000183
供應	2   0.000183
便利	2   0.000183
保持	2   0.000183
保險法	2   0.000183
倫理	2   0.000183
偶見	2   0.000183
傳輸	2   0.000183
債款	2   0.000183
億元	2   0.000183
償還	2   0.000183
優勢	2   0.000183
優惠	2   0.000183
先  2	0.000183
先期	2   0.000183
先行	2   0.000183
內部	2   0.000183
八十	2   0.000183
公布	2   0.000183
公權力	2   0.000183
公眾	2   0.000183
公義	2   0.000183
公路	2   0.000183
六成	2   0.000183
共通性	2   0.000183
再  2	0.000183
再行	2   0.000183
分別	2   0.000183
利害	2   0.000183
利得	2   0.000183
剩餘	2   0.000183
創設	2   0.000183
加值型	2   0.000183
加強	2   0.000183
加重	2   0.000183
勢將	2   0.000183
十五年	2   0.000183
協助	2   0.000183
占有	2   0.000183
危機	2   0.000183
原  2	0.000183
原始	2   0.000183
原本	2   0.000183
參採	2   0.000183
反光	2   0.000183
另為	2   0.000183
可罰	2   0.000183
合格	2   0.000183
同意	2   0.000183
名  2	0.000183
商品	2   0.000183
商業	2   0.000183
單位	2   0.000183
嚇阻	2   0.000183
嚴重性	2   0.000183
因其	2   0.000183
因應	2   0.000183
因案	2   0.000183
困境	2   0.000183
困難	2   0.000183
困難性	2   0.000183
固定	2   0.000183
國人	2   0.000183
國內	2   0.000183
國外	2   0.000183
國民教育    2	0.000183
國防	2   0.000183
國防部	2   0.000183
在外	2   0.000183
型  2	0.000183
大宗	2   0.000183
大法官	2   0.000183
夫妻	2   0.000183
如因	2   0.000183
始得	2   0.000183
始能	2   0.000183
委託人	2   0.000183
威脅	2   0.000183
孕婦	2   0.000183
學生	2   0.000183
安全局	2   0.000183
完整	2   0.000183
專法	2   0.000183
對稱	2   0.000183
對立	2   0.000183
就讀	2   0.000183
居家	2   0.000183
屬於	2   0.000183
工作	2   0.000183
帳戶	2   0.000183
帳號	2   0.000183
常有	2   0.000183
年資	2   0.000183
廠商	2   0.000183
延長為	2   0.000183
建  2	0.000183
建設	2   0.000183
彼此	2   0.000183
後續	2   0.000183
得受	2   0.000183
徵納	2   0.000183
必須	2   0.000183
忽視	2   0.000183
性質	2   0.000183
恐  2	0.000183
恢復	2   0.000183
情事	2   0.000183
意義	2   0.000183
態樣	2   0.000183
應變	2   0.000183
成  2	0.000183
成本	2   0.000183
成為	2   0.000183
所在地	2   0.000183
所生	2   0.000183
所買	2   0.000183
扣除額	2   0.000183
持有	2   0.000183
採購	2   0.000183
接取	2   0.000183
接獲	2   0.000183
控制	2   0.000183
提起	2   0.000183
換發	2   0.000183
援用	2   0.000183
損失	2   0.000183
擔任	2   0.000183
擔保	2   0.000183
擴及	2   0.000183
支付	2   0.000183
收益率	2   0.000183
改  2	0.000183
放任	2   0.000183
效力	2   0.000183
效應	2   0.000183
效率	2   0.000183
效益	2   0.000183
效能	2   0.000183
散戶	2   0.000183
敦促	2   0.000183
整體	2   0.000183
新加坡	2   0.000183
新照	2   0.000183
早已	2   0.000183
明文規定    2	0.000183
易  2	0.000183
時間	2   0.000183
暨  2	0.000183
更新	2   0.000183
更為	2   0.000183
月  2	0.000183
有助於	2   0.000183
有鑒於此    2	0.000183
朝向	2   0.000183
本於	2   0.000183
查核	2   0.000183
核准	2   0.000183
核發	2   0.000183
業於	2   0.000183
概念	2   0.000183
標準化	2   0.000183
標線	2   0.000183
款  2	0.000183
正義	2   0.000183
此舉	2   0.000183
比率	2   0.000183
比重	2   0.000183
江惠貞	2   0.000183
法源	2   0.000183
法益	2   0.000183
注意	2   0.000183
添加物	2   0.000183
減輕	2   0.000183
源頭	2   0.000183
漏洞	2   0.000183
澳洲	2   0.000183
為後	2   0.000183
為由	2   0.000183
照護	2   0.000183
營業人	2   0.000183
父母	2   0.000183
物品	2   0.000183
特定	2   0.000183
犯罪	2   0.000183
狀態	2   0.000183
獨居	2   0.000183
現況	2   0.000183
現象	2   0.000183
現金	2   0.000183
生之	2   0.000183
生存	2   0.000183
生產	2   0.000183
產險業	2   0.000183
由來已久    2	0.000183
當前	2   0.000183
疑義	2   0.000183
登記	2   0.000183
發現	2   0.000183
百分之三十  2	0.000183
監聽	2   0.000183
瞭解	2   0.000183
確定	2   0.000183
確實	2   0.000183
確認	2   0.000183
私菸	2   0.000183
私酒	2   0.000183
租賃	2   0.000183
移送	2   0.000183
稅法	2   0.000183
稅額	2   0.000183
程序法	2   0.000183
空中	2   0.000183
立即	2   0.000183
端點	2   0.000183
第三十	2   0.000183
第九	2   0.000183
第二十一    2	0.000183
第二十八    2	0.000183
第五	2   0.000183
第五十三    2	0.000183
第六十六    2	0.000183
第十九	2   0.000183
第十八	2   0.000183
第十四	2   0.000183
第四十八    2	0.000183
管制	2   0.000183
節制	2   0.000183
節約	2   0.000183
糾紛	2   0.000183
細則	2   0.000183
終身	2   0.000183
經紀	2   0.000183
綜所稅	2   0.000183
維運	2   0.000183
網絡	2   0.000183
總  2	0.000183
總額	2   0.000183
罕病	2   0.000183
罰金	2   0.000183
美  2	0.000183
而言	2   0.000183
股利	2   0.000183
胎兒	2   0.000183
能源	2   0.000183
自願	2   0.000183
興  2	0.000183
蔣乃辛	2   0.000183
處分	2   0.000183
號碼	2   0.000183
號誌	2   0.000183
行之多年    2	0.000183
行業	2   0.000183
衡酌	2   0.000183
表示	2   0.000183
被動	2   0.000183
要保人	2   0.000183
見解	2   0.000183
規則	2   0.000183
觀念	2   0.000183
記錄	2   0.000183
訪視	2   0.000183
設立	2   0.000183
許多	2   0.000183
請領	2   0.000183
警告	2   0.000183
議決	2   0.000183
變遷	2   0.000183
讓  2	0.000183
負起	2   0.000183
財產權	2   0.000183
貫徹	2   0.000183
費率	2   0.000183
資遣費	2   0.000183
賠償	2   0.000183
購買	2   0.000183
轉換	2   0.000183
辦法	2   0.000183
近  2	0.000183
近年	2   0.000183
追求	2   0.000183
通報	2   0.000183
連續性	2   0.000183
進而	2   0.000183
遂  2	0.000183
運輸	2   0.000183
達  2	0.000183
達到	2   0.000183
違背	2   0.000183
適度	2   0.000183
遭  2	0.000183
都市	2   0.000183
醫事	2   0.000183
醫學	2   0.000183
醫師	2   0.000183
重建	2   0.000183
重製	2   0.000183
量能	2   0.000183
金控	2   0.000183
鑒於	2   0.000183
長於	2   0.000183
開放	2   0.000183
開業	2   0.000183
開發	2   0.000183
關係	2   0.000183
關稅法	2   0.000183
限度	2   0.000183
除非	2   0.000183
陳鎮湘	2   0.000183
隔代	2   0.000183
隨油	2   0.000183
雙親	2   0.000183
非法	2   0.000183
項目	2   0.000183
預見	2   0.000183
領取	2   0.000183
類型	2   0.000183
顯然	2   0.000183
顯示	2   0.000183
風險	2   0.000183
餘  2	0.000183
首次	2   0.000183
高度	2   0.000183
